date,district,cases
2014-07-23,Bombali,0.0
2014-07-23,Kailahun,0.0
2014-07-23,Bo,0.0
2014-07-23,Pujehun,0.0
2014-07-23,Kenema,5.0
2014-07-23,Kono,0.0
2014-07-24,W/Rural,0.0
2014-07-24,Kailahun,0.0
2014-07-24,Bo,0.0
2014-07-24,Kenema,11.0
2014-07-24,Kambia,0.0
2014-07-24,Koinadugu,0.0
2014-07-24,Tonkolili,0.0
2014-07-24,W/Urban,0.0
2014-07-24,Port Loko,0.0
2014-07-24,Pujehun,0.0
2014-07-24,Bombali,0.0
2014-07-24,Bonthe,0.0
2014-07-24,Kono,0.0
2014-07-24,Mayamba,0.0
2014-07-25,Port Loko,0.0
2014-07-25,Kenema,0.0
2014-07-25,Bo,0.0
2014-07-25,Mayamba,0.0
2014-07-25,W/Rural,0.0
2014-07-25,Bonthe,0.0
2014-07-25,Kambia,0.0
2014-07-25,Koinadugu,0.0
2014-07-25,W/Urban,0.0
2014-07-25,Tonkolili,0.0
2014-07-25,Bombali,0.0
2014-07-25,Kailahun,0.0
2014-07-25,Kono,0.0
2014-07-25,Pujehun,0.0
2014-07-26,Koinadugu,0.0
2014-07-26,Tonkolili,0.0
2014-07-26,Kono,0.0
2014-07-26,Bonthe,0.0
2014-07-26,Kenema,0.0
2014-07-26,Bo,0.0
2014-07-26,Bombali,0.0
2014-07-26,Mayamba,0.0
2014-07-26,Pujehun,0.0
2014-07-26,Kailahun,0.0
2014-07-26,W/Rural,0.0
2014-07-26,W/Urban,0.0
2014-07-26,Kambia,0.0
2014-07-26,Port Loko,0.0
2014-07-27,Bonthe,0.0
2014-07-27,Tonkolili,0.0
2014-07-27,Kailahun,7.0
2014-07-27,Koinadugu,0.0
2014-07-27,Bombali,0.0
2014-07-27,Mayamba,0.0
2014-07-27,Bo,0.0
2014-07-27,W/Rural,0.0
2014-07-27,Kenema,2.0
2014-07-27,Kono,0.0
2014-07-27,Pujehun,0.0
2014-07-27,W/Urban,0.0
2014-07-27,Kambia,0.0
2014-07-27,Port Loko,1.0
2014-07-28,Kambia,0.0
2014-07-28,W/Rural,0.0
2014-07-28,Bo,0.0
2014-07-28,Bonthe,0.0
2014-07-28,Tonkolili,0.0
2014-07-28,Koinadugu,0.0
2014-07-28,Kenema,2.0
2014-07-28,Kono,0.0
2014-07-28,Port Loko,1.0
2014-07-28,Mayamba,0.0
2014-07-28,Pujehun,0.0
2014-07-28,W/Urban,0.0
2014-07-28,Kailahun,7.0
2014-07-28,Bombali,0.0
2014-07-29,Kailahun,5.0
2014-07-29,Pujehun,0.0
2014-07-29,Koinadugu,0.0
2014-07-29,Bombali,0.0
2014-07-29,Bonthe,0.0
2014-07-29,Kenema,5.0
2014-07-29,W/Urban,0.0
2014-07-29,Kono,1.0
2014-07-29,Port Loko,0.0
2014-07-29,Bo,0.0
2014-07-29,W/Rural,0.0
2014-07-29,Mayamba,0.0
